Completed Date , Description , Paid Out (GBP) , Paid In (GBP) , Exchange Out, Exchange In, Balance (GBP), Category, Notes
17-Dec-18, Transport for London  ,4.8,  ,  ,  ,345.5, transport, 
17-Dec-18, Exchange  to GBP FX Rate £1 = €1.1121 ,  ,179.82,  EUR 200.00 ,  ,350.3, general, 
17-Dec-18, To Holidays   ,0.1,  ,  ,  ,170.48, transfers, 
17-Dec-18, To Holidays   ,0.5,  ,  ,  ,170.58, transfers, 
17-Dec-18, To Holidays   ,0.2,  ,  ,  ,171.08, transfers, 
17-Dec-18, From Holidays   ,  ,35,  ,  ,171.28, transfers, 
16-Dec-18, To Holidays   ,0.02,  ,  ,  ,136.28, transfers, 
16-Dec-18, To Holidays   ,2,  ,  ,  ,136.3, transfers, 
16-Dec-18, To Holidays   ,2,  ,  ,  ,138.3, transfers, 
16-Dec-18, To Holidays   ,1.4,  ,  ,  ,140.3, transfers, 
16-Dec-18, To Holidays   ,0.02,  ,  ,  ,141.7, transfers, 
16-Dec-18, To Holidays   ,0.14,  ,  ,  ,141.72, transfers, 
16-Dec-18, To Holidays   ,0.4,  ,  ,  ,141.86, transfers, 
16-Dec-18, Transport for London  ,6.8,  ,  ,  ,142.26, transport, 
16-Dec-18, Sainsbury's  ,22.37,  ,  ,  ,149.06, groceries, 
16-Dec-18, Habitat Finchley Road  ,7.2,  ,  ,  ,171.43, utilities, 
16-Dec-18, Homebase - London Acton  ,29,  ,  ,  ,178.63, utilities, 
16-Dec-18, Mr Lee  ,8.7,  ,  ,  ,207.63, shopping, 
15-Dec-18, From Luca Mircoli  ,  ,4.8,  ,  ,216.33, transfers, 
15-Dec-18, To Holidays   ,0.5,  ,  ,  ,211.53, transfers, 
15-Dec-18, To Holidays   ,0.08,  ,  ,  ,212.03, transfers, 
15-Dec-18, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,212.11, cash, 
15-Dec-18, Uber Eats  ,7.05,  ,  ,  ,222.11, transport, 
15-Dec-18, Sunflower Cafe  ,9.5,  ,  ,  ,229.16, restaurants, 
15-Dec-18, Newsmart  ,9,  ,  ,  ,238.66, shopping, 
15-Dec-18, Pret A Manger  ,3.99,  ,  ,  ,247.66, restaurants, 
14-Dec-18, To Holidays   ,1.96,  ,  ,  ,251.65, transfers, 
14-Dec-18, To Holidays   ,1.6,  ,  ,  ,253.61, transfers, 
14-Dec-18, To Holidays   ,1.26,  ,  ,  ,255.21, transfers, 
14-Dec-18, To Holidays   ,2,  ,  ,  ,256.47, transfers, 
14-Dec-18, To Holidays   ,0.6,  ,  ,  ,258.47, transfers, 
14-Dec-18, Transport for London  ,6.8,  ,  ,  ,259.07, transport, 
14-Dec-18, Pret A Manger  ,2.75,  ,  ,  ,265.87, restaurants, 
14-Dec-18, Sunflower Cafe  ,8,  ,  ,  ,268.62, restaurants, 
14-Dec-18, Tesco Superstore  ,5,  ,  ,  ,276.62, groceries, 
13-Dec-18, To Holidays   ,2,  ,  ,  ,281.62, transfers, 
13-Dec-18, To Holidays   ,1,  ,  ,  ,283.62, transfers, 
13-Dec-18, To Holidays   ,0.02,  ,  ,  ,284.62, transfers, 
13-Dec-18, Tesco Superstore  ,10.45,  ,  ,  ,284.64, groceries, 
13-Dec-18, Newsmart  ,9,  ,  ,  ,295.09, shopping, 
13-Dec-18, Pret A Manger  ,5.5,  ,  ,  ,304.09, restaurants, 
13-Dec-18, itsu  ,22.24,  ,  ,  ,309.59, restaurants, 
13-Dec-18, To Holidays   ,2,  ,  ,  ,331.83, transfers, 
13-Dec-18, To Holidays   ,0.4,  ,  ,  ,333.83, transfers, 
12-Dec-18, To Holidays   ,2,  ,  ,  ,334.23, transfers, 
12-Dec-18, To Holidays   ,2,  ,  ,  ,336.23, transfers, 
12-Dec-18, Newsmart  ,9,  ,  ,  ,338.23, shopping, 
12-Dec-18, Tesco Superstore  ,11.7,  ,  ,  ,347.23, groceries, 
12-Dec-18, Wasabi Sushi & Bento  ,11.8,  ,  ,  ,358.93, restaurants, 
12-Dec-18, Lse Catering  ,3.2,  ,  ,  ,370.73, restaurants, 
12-Dec-18, To Holidays   ,0.5,  ,  ,  ,373.93, transfers, 
11-Dec-18, To Holidays   ,1.1,  ,  ,  ,374.43, transfers, 
11-Dec-18, To Holidays   ,2,  ,  ,  ,375.53, transfers, 
11-Dec-18, To Holidays   ,1.52,  ,  ,  ,377.53, transfers, 
11-Dec-18, To Lorenz Maresca  ,20,  ,  ,  ,379.05, transfers, 
11-Dec-18, Exchange  to GBP FX Rate £1 = €1.1074 ,  ,355.17,  EUR 393.33 ,  ,399.05, general, 
11-Dec-18, To Holidays   ,1,  ,  ,  ,43.88, transfers, 
10-Dec-18, To Holidays   ,0.2,  ,  ,  ,44.88, transfers, 
10-Dec-18, Transport for London  ,3.9,  ,  ,  ,45.08, transport, 
10-Dec-18, To Holidays   ,0.6,  ,  ,  ,48.98, transfers, 
10-Dec-18, To Holidays   ,1.6,  ,  ,  ,49.58, transfers, 
10-Dec-18, To Luca Mircoli  ,20,  ,  ,  ,51.18, transfers, 
10-Dec-18, Payment from L Maresca  ,  ,33.85,  ,  ,71.18, general, MONEY TRANSFER
10-Dec-18, To Holidays   ,0.4,  ,  ,  ,37.33, transfers, 
10-Dec-18, To Holidays   ,2,  ,  ,  ,37.73, transfers, 
10-Dec-18, To Sara Virgin  ,50,  ,  ,  ,39.73, transfers, palestra
10-Dec-18, Exchange  to GBP FX Rate £1 = €1.1144 ,  ,89.73,  EUR 100.00 ,  ,89.73, general, 
09-Dec-18, To Lorenz Maresca  ,30,  ,  ,  ,0, transfers, 
09-Dec-18, From Holidays   ,  ,29,  ,  ,30, transfers, 
09-Dec-18, Netflix HQ  ,9.99,  ,  ,  ,1, utilities, 
09-Dec-18, Transport for London  ,2.4,  ,  ,  ,10.99, transport, 
09-Dec-18, Transport for London  ,5.3,  ,  ,  ,13.39, transport, 
09-Dec-18, Uber Eats  ,19.12,  ,  ,  ,18.69, transport, 
08-Dec-18, Ryanair  ,45.99,  ,  ,  ,37.81, travel, 
08-Dec-18, Tesco Superstore  ,21.33,  ,  ,  ,83.8, groceries, 
07-Dec-18, To Holidays   ,1.76,  ,  ,  ,105.13, transfers, 
07-Dec-18, From Giacomo Maravalle  ,  ,20,  ,  ,106.89, transfers, 
07-Dec-18, To Lorenz Maresca  ,35,  ,  ,  ,86.89, transfers, 
07-Dec-18, easyJet Hangar 89 FX Rate £1 = €1.1209 ,88.14,  ,  EUR 98.80 ,  ,121.89, travel, 
07-Dec-18, To Holidays   ,1.4,  ,  ,  ,210.03, transfers, 
07-Dec-18, To Holidays   ,0.02,  ,  ,  ,211.43, transfers, 
06-Dec-18, To Holidays   ,1.34,  ,  ,  ,211.45, transfers, 
05-Dec-18, Refund from Uber Eats Kqmxe Help.uber  ,  ,6.58,  ,  ,212.79, transport, 
05-Dec-18, Refund from Uber Eats Qttyf Help.uber  ,  ,4.49,  ,  ,206.21, transport, 
05-Dec-18, Uber Eats  ,17.06,  ,  ,  ,201.72, transport, 
05-Dec-18, Uber Eats  ,11.48,  ,  ,  ,218.78, transport, 
05-Dec-18, To Holidays   ,1.72,  ,  ,  ,230.26, transfers, 
05-Dec-18, To Holidays   ,0.02,  ,  ,  ,231.98, transfers, 
04-Dec-18, To Holidays   ,1.2,  ,  ,  ,232, transfers, 
04-Dec-18, Transport for London  ,2.4,  ,  ,  ,233.2, transport, 
04-Dec-18, To Holidays   ,1.2,  ,  ,  ,235.6, transfers, 
04-Dec-18, Transport for London  ,2.4,  ,  ,  ,236.8, transport, 
04-Dec-18, Nyx healthyvendingco  ,1,  ,  ,  ,239.2, groceries, 
04-Dec-18, Primark  ,3.5,  ,  ,  ,240.2, shopping, 
04-Dec-18, To Holidays   ,1.2,  ,  ,  ,243.7, transfers, 
03-Dec-18, To Holidays   ,1.04,  ,  ,  ,244.9, transfers, 
03-Dec-18, To Holidays   ,0.2,  ,  ,  ,245.94, transfers, 
03-Dec-18, Transport for London  ,2.9,  ,  ,  ,246.14, transport, 
03-Dec-18, Pret A Manger  ,2.75,  ,  ,  ,249.04, restaurants, 
03-Dec-18, Sunflower Cafe  ,8.5,  ,  ,  ,251.79, restaurants, 
03-Dec-18, Nelhart News  ,8.99,  ,  ,  ,260.29, shopping, 
03-Dec-18, Sunflower Cafe  ,9.5,  ,  ,  ,269.28, restaurants, 
03-Dec-18, Sainsbury's  ,2.2,  ,  ,  ,278.78, groceries, 
03-Dec-18, To Holidays   ,1.88,  ,  ,  ,280.98, transfers, 
03-Dec-18, To Christopher Maclean  ,200,  ,  ,  ,282.86, transfers, month of November
03-Dec-18, Exchange  to GBP FX Rate £1 = €1.1218 ,  ,445.68,  EUR 500.00 ,  ,482.86, general, 
01-Dec-18, To Holidays   ,2,  ,  ,  ,37.18, transfers, 
01-Dec-18, To Christopher Maclean  ,1,,,,,,
30-Nov-18, To Holidays   ,1,  ,  ,  ,1,,
30-Nov-18, Payment from L Maresca  ,  ,845,  ,  ,1,,
29-Nov-18, To Dina Radenkovich  ,115,  ,  ,  ,395.18, transfers, 
29-Nov-18, To Holidays   ,1,  ,  ,  ,510.18, transfers, 
29-Nov-18, Mother Group Ltd  ,2.25,  ,  ,  ,511.18, groceries, 
29-Nov-18, Pret A Manger  ,2.75,  ,  ,  ,513.43, restaurants, 
29-Nov-18, The Japanese Canteen  ,23.67,  ,  ,  ,516.18, restaurants, 
29-Nov-18, Sunflower Cafe  ,8,  ,  ,  ,539.85, restaurants, 
29-Nov-18, To Holidays   ,0.5,  ,  ,  ,547.85, transfers, 
28-Nov-18, From Luca Mircoli  ,  ,10,  ,  ,548.35, transfers, 
28-Nov-18, To Luca Mircoli  ,10,  ,  ,  ,538.35, transfers, 
28-Nov-18, To Holidays   ,1.6,  ,  ,  ,548.35, transfers, 
28-Nov-18, To Holidays   ,0.02,  ,  ,  ,549.95, transfers, 
28-Nov-18, To Holidays   ,1,  ,  ,  ,549.97, transfers, 
28-Nov-18, Pret A Manger  ,2.75,  ,  ,  ,550.97, restaurants, 
28-Nov-18, Chiltern Firehouse  ,25.3,  ,  ,  ,553.72, restaurants, 
28-Nov-18, Sunflower Cafe  ,10.95,  ,  ,  ,579.02, restaurants, 
28-Nov-18, Sainsbury's  ,4.5,  ,  ,  ,589.97, groceries, 
27-Nov-18, To Holidays   ,0.66,  ,  ,  ,594.47, transfers, 
27-Nov-18, To Holidays   ,1.5,  ,  ,  ,595.13, transfers, 
27-Nov-18, Exchange  to GBP FX Rate £1 = €1.1270 ,  ,443.63,  EUR 500.00 ,  ,596.63, general, 
27-Nov-18, Pret A Manger  ,4.48,  ,  ,  ,153, restaurants, 
27-Nov-18, Ms To Go Ssp Ltd  ,3,  ,  ,  ,157.48, groceries, 
27-Nov-18, Buongiorno e Buonasera  ,29.5,  ,  ,  ,160.48, restaurants, 
27-Nov-18, Starbucks Coffee  ,2.75,  ,  ,  ,189.98, restaurants, 
27-Nov-18, To Holidays   ,0.4,  ,  ,  ,192.73, transfers, 
27-Nov-18, Transport for London  ,4.8,  ,  ,  ,193.13, transport, 
26-Nov-18, Transport for London  ,4.8,  ,  ,  ,197.93, transport, 
26-Nov-18, Starbucks Coffee  ,2.75,  ,  ,  ,202.73, restaurants, 
26-Nov-18, Nyx healthyvendingco  ,1.2,  ,  ,  ,205.48, groceries, 
26-Nov-18, Nyx healthyvendingco  ,1.2,  ,  ,  ,206.68, groceries, 
26-Nov-18, To Holidays   ,0.1,  ,  ,  ,207.88, transfers, 
26-Nov-18, To Holidays   ,0.5,  ,  ,  ,207.98, transfers, 
25-Nov-18, To Holidays   ,1.4,  ,  ,  ,208.48, transfers, 
25-Nov-18, To Holidays   ,1,  ,  ,  ,209.88, transfers, 
25-Nov-18, To Holidays   ,0.5,  ,  ,  ,210.88, transfers, 
25-Nov-18, To Holidays   ,1.04,  ,  ,  ,211.38, transfers, 
25-Nov-18, To Holidays   ,2,  ,  ,  ,212.42, transfers, 
25-Nov-18, Marylebone  ,2.6,  ,  ,  ,214.42, restaurants, 
25-Nov-18, UoW  ,3.6,  ,  ,  ,217.02, restaurants, 
25-Nov-18, Sainsbury's  ,11.3,  ,  ,  ,220.62, groceries, 
24-Nov-18, From Holidays   ,  ,3.7,  ,  ,231.92, transfers, 
24-Nov-18, Payment from L Maresca  ,  ,38.11,  ,  ,228.22, general, MONEY TRANSFER
24-Nov-18, To Holidays   ,0.5,  ,  ,  ,190.11, transfers, 
24-Nov-18, To Holidays   ,1.6,  ,  ,  ,190.61, transfers, 
24-Nov-18, To Holidays   ,1.6,  ,  ,  ,192.21, transfers, 
24-Nov-18, From Holidays   ,  ,109.75,  ,  ,193.81, transfers, 
24-Nov-18, Pret A Manger  ,2.75,  ,  ,  ,84.06, restaurants, 
24-Nov-18, Sunflower Cafe  ,10.5,  ,  ,  ,86.81, restaurants, 
23-Nov-18, To Holidays   ,1.4,  ,  ,  ,97.31, transfers, 
23-Nov-18, To Holidays   ,0.8,  ,  ,  ,98.71, transfers, 
23-Nov-18, To Holidays   ,0.8,  ,  ,  ,99.51, transfers, 
23-Nov-18, Chef Academy London  ,2,  ,  ,  ,100.31, restaurants, 
23-Nov-18, To Holidays   ,1.2,  ,  ,  ,102.31, transfers, 
23-Nov-18, Transport for London  ,2.4,  ,  ,  ,103.51, transport, 
23-Nov-18, Sunflower Cafe  ,8.5,  ,  ,  ,105.91, restaurants, 
23-Nov-18, Transport for London  ,5.3,  ,  ,  ,114.41, transport, 
23-Nov-18, Pret A Manger  ,2.75,  ,  ,  ,119.71, restaurants, 
22-Nov-18, To Holidays   ,1,  ,  ,  ,122.46, transfers, 
22-Nov-18, To Holidays   ,0.5,  ,  ,  ,123.46, transfers, 
22-Nov-18, Sunflower Cafe  ,8.5,  ,  ,  ,123.96, restaurants, 
22-Nov-18, Barber and Parlour  ,10.13,  ,  ,  ,132.46, restaurants, 
22-Nov-18, Barber and Parlour  ,16,  ,  ,  ,142.59, restaurants, 
22-Nov-18, To Holidays   ,1.4,  ,  ,  ,158.59, transfers, 
21-Nov-18, To Holidays   ,2,  ,  ,  ,159.99, transfers, 
21-Nov-18, To Holidays   ,1,  ,  ,  ,161.99, transfers, 
21-Nov-18, Park Plaza Sherlock Holmes London  ,2.2,  ,  ,  ,162.99, restaurants, 
21-Nov-18, Tesco Superstore  ,9.8,  ,  ,  ,165.19, groceries, 
21-Nov-18, Electric Shoreditch  ,38,  ,  ,  ,174.99, entertainment, 
21-Nov-18, UoW  ,4.7,  ,  ,  ,212.99, restaurants, 
21-Nov-18, Marylebone  ,4.55,  ,  ,  ,217.69, restaurants, 
21-Nov-18, To Holidays   ,0.4,  ,  ,  ,222.24, transfers, 
21-Nov-18, Transport for London  ,4.8,  ,  ,  ,222.64, transport, 
21-Nov-18, To Holidays   ,0.5,  ,  ,  ,227.44, transfers, 
20-Nov-18, To Holidays   ,1.74,  ,  ,  ,227.94, transfers, 
20-Nov-18, To Holidays   ,2,  ,  ,  ,229.68, transfers, 
20-Nov-18, To Luca Mircoli  ,20,  ,  ,  ,231.68, transfers, 
20-Nov-18, To Holidays   ,1,  ,  ,  ,251.68, transfers, 
20-Nov-18, To Holidays   ,0.4,  ,  ,  ,252.68, transfers, 
20-Nov-18, Transport for London  ,4.8,  ,  ,  ,253.08, transport, 
20-Nov-18, Sainsbury's  ,11.45,  ,  ,  ,257.88, groceries, 
20-Nov-18, To Holidays   ,2,  ,  ,  ,269.33, transfers, 
19-Nov-18, To Holidays   ,0.4,  ,  ,  ,271.33, transfers, 
19-Nov-18, Transport for London  ,6.3,  ,  ,  ,271.73, transport, 
19-Nov-18, taste Festivals Limit  ,1,  ,  ,  ,278.03, entertainment, 
19-Nov-18, Ms To Go Ssp Ltd  ,3,  ,  ,  ,279.03, groceries, 
19-Nov-18, The Japanese Canteen  ,13.41,  ,  ,  ,282.03, restaurants, 
19-Nov-18, To Holidays   ,1.6,  ,  ,  ,295.44, transfers, 
19-Nov-18, To Holidays   ,0.6,  ,  ,  ,297.04, transfers, 
19-Nov-18, To Holidays   ,0.9,  ,  ,  ,297.64, transfers, 
18-Nov-18, To Holidays   ,1.1,  ,  ,  ,298.54, transfers, 
18-Nov-18, UoW  ,2.95,  ,  ,  ,299.64, restaurants, 
18-Nov-18, To Holidays   ,1.4,  ,  ,  ,302.59, transfers, 
18-Nov-18, Transport for London  ,5.3,  ,  ,  ,303.99, transport, 
18-Nov-18, Park Plaza Sherlock Holmes London  ,4.4,  ,  ,  ,309.29, restaurants, 
18-Nov-18, To Holidays   ,1.4,  ,  ,  ,313.69, transfers, 
17-Nov-18, To Holidays   ,1.18,  ,  ,  ,315.09, transfers, 
17-Nov-18, To Holidays   ,2,  ,  ,  ,316.27, transfers, 
17-Nov-18, Payment from L Maresca  ,  ,150,  ,  ,318.27, general, MONEY TRANSFER
17-Nov-18, To Holidays   ,2,  ,  ,  ,168.27, transfers, 
17-Nov-18, Exchange  to GBP FX Rate £1 = €1.1294 ,  ,4.06,  EUR 4.59 ,  ,170.27, general, 
17-Nov-18, To Holidays   ,0.4,  ,  ,  ,166.21, transfers, 
17-Nov-18, Transport for London  ,5.8,  ,  ,  ,166.61, transport, 
17-Nov-18, Tesco Superstore  ,10.7,  ,  ,  ,172.41, groceries, 
17-Nov-18, Newsmart  ,9,  ,  ,  ,183.11, shopping, 
17-Nov-18, Tesco Superstore  ,16.78,  ,  ,  ,192.11, groceries, 
17-Nov-18, Sunflower Cafe  ,8.5,  ,  ,  ,208.89, restaurants, 
17-Nov-18, Pret A Manger  ,2.75,  ,  ,  ,217.39, restaurants, 
16-Nov-18, To Holidays   ,0.1,  ,  ,  ,220.14, transfers, 
16-Nov-18, To Holidays   ,1.2,  ,  ,  ,220.24, transfers, 
16-Nov-18, Tesco Superstore  ,1.75,  ,  ,  ,221.44, groceries, 
16-Nov-18, Pret A Manger  ,2.75,  ,  ,  ,223.19, restaurants, 
16-Nov-18, Island Poke  ,8.85,  ,  ,  ,225.94, restaurants, 
15-Nov-18, To Holidays   ,0.44,  ,  ,  ,234.79, transfers, 
15-Nov-18, To Holidays   ,0.6,  ,  ,  ,235.23, transfers, 
15-Nov-18, To Holidays   ,1,  ,  ,  ,235.83, transfers, 
15-Nov-18, To Holidays   ,0.5,  ,  ,  ,236.83, transfers, 
15-Nov-18, To Holidays   ,2,  ,  ,  ,237.33, transfers, 
15-Nov-18, Tesco Superstore  ,9.72,  ,  ,  ,239.33, groceries, 
15-Nov-18, Gitane  ,19.5,  ,  ,  ,249.05, restaurants, 
15-Nov-18, The Hummingbird Bakery  ,4.45,  ,  ,  ,268.55, groceries, 
15-Nov-18, Transport for London  ,2.4,  ,  ,  ,273, transport, 
15-Nov-18, Npower  ,51.75,  ,  ,  ,275.4, utilities, 
14-Nov-18, To Holidays   ,0.5,  ,  ,  ,327.15, transfers, 
14-Nov-18, Ryanair FX Rate £1 = €1.1444 ,4.81,  ,  EUR 5.50 ,  ,327.65, travel, 
14-Nov-18, To Holidays   ,0.3,  ,  ,  ,332.46, transfers, 
14-Nov-18, To Holidays   ,0.5,  ,  ,  ,332.76, transfers, 
14-Nov-18, To Holidays   ,1.2,  ,  ,  ,333.26, transfers, 
13-Nov-18, To Holidays   ,0.56,  ,  ,  ,334.46, transfers, 
13-Nov-18, To Holidays   ,1,  ,  ,  ,335.02, transfers, 
13-Nov-18, To Holidays   ,0.5,  ,  ,  ,336.02, transfers, 
13-Nov-18, To Holidays   ,1.1,  ,  ,  ,336.52, transfers, 
12-Nov-18, To Holidays   ,0.38,  ,  ,  ,337.62, transfers, 
12-Nov-18, Exchange GBP to  FX Rate £1 = €1.1446 ,20,  ,  GBP 20.00 ,  ,338, general, 
11-Nov-18, From Gianluigi Coccia  ,  ,43,  ,  ,358, transfers, Resto cleaner
11-Nov-18, Exchange GBP to  FX Rate £1 = €1.1386 ,50,  ,  GBP 50.00 ,  ,315, general, 
11-Nov-18, From Luca Mircoli  ,  ,365,  ,  ,365, transfers, 
11-Nov-18, Cash at Sainsbury's Bank Fee: 0.61 ,60.61,  ,  ,  ,0, cash, 
11-Nov-18, Greater Anglia  ,29,  ,  ,  ,60.61, transport, 
10-Nov-18, Exchange GBP to  FX Rate £1 = €1.1386 ,27.55,  ,  GBP 27.55 ,  ,89.61, general, 
10-Nov-18, Cash at Royal Bank of Scotland  ,20,  ,  ,  ,117.16, cash, 
10-Nov-18, Lexington Catering  ,1.75,  ,  ,  ,137.16, restaurants, 
10-Nov-18, Deliveroo  ,13.57,  ,  ,  ,138.91, groceries, 
10-Nov-18, Sunflower Cafe  ,8,  ,  ,  ,152.48, restaurants, 
10-Nov-18, From Gianluigi Coccia  ,  ,20,  ,  ,160.48, transfers, Cleaner 20/63
09-Nov-18, To Holidays   ,2,  ,  ,  ,140.48, transfers, 
09-Nov-18, To Holidays   ,50,  ,  ,  ,142.48, transfers, 
09-Nov-18, Netflix HQ  ,9.99,  ,  ,  ,192.48, utilities, 
09-Nov-18, Pret A Manger  ,2.75,  ,  ,  ,202.47, restaurants, 
09-Nov-18, To Holidays   ,0.4,  ,  ,  ,205.22, transfers, 
09-Nov-18, Transport for London  ,5.8,  ,  ,  ,205.62, transport, 
09-Nov-18, Tesco Superstore  ,5.6,  ,  ,  ,211.42, groceries, 
09-Nov-18, Sunflower Cafe  ,8.5,  ,  ,  ,217.02, restaurants, 
08-Nov-18, To Holidays   ,0.86,  ,  ,  ,225.52, transfers, 
08-Nov-18, To Holidays   ,0.5,  ,  ,  ,226.38, transfers, 
08-Nov-18, To Holidays   ,2,  ,  ,  ,226.88, transfers, 
08-Nov-18, Transport for London  ,5.8,  ,  ,  ,228.88, transport, 
08-Nov-18, Sunflower Cafe  ,8.5,  ,  ,  ,234.68, restaurants, 
08-Nov-18, Boots  ,11.88,  ,  ,  ,243.18, health, 
07-Nov-18, From Luca Mircoli  ,  ,10,  ,  ,255.06, transfers, 
07-Nov-18, To Holidays   ,0.8,  ,  ,  ,245.06, transfers, 
07-Nov-18, To Holidays   ,1,  ,  ,  ,245.86, transfers, 
07-Nov-18, Tesco Stores Ltd  ,0.89,  ,  ,  ,246.86, groceries, 
07-Nov-18, Sunflower Cafe  ,17,  ,  ,  ,247.75, restaurants, 
07-Nov-18, To Holidays   ,0.5,  ,  ,  ,264.75, transfers, 
07-Nov-18, To Holidays   ,0.02,  ,  ,  ,265.25, transfers, 
07-Nov-18, To Holidays   ,0.4,  ,  ,  ,265.27, transfers, 
07-Nov-18, To Christopher Maclean  ,60,  ,  ,  ,265.67, transfers, month of November
06-Nov-18, From Luca Mircoli  ,  ,10,  ,  ,325.67, transfers, 
06-Nov-18, To Holidays   ,0.24,  ,  ,  ,315.67, transfers, 
06-Nov-18, To Holidays   ,1,  ,  ,  ,315.91, transfers, 
06-Nov-18, To Holidays   ,0.22,  ,  ,  ,316.91, transfers, 
05-Nov-18, From Luca Mircoli  ,  ,300,  ,  ,317.13, transfers, 
04-Nov-18, From Holidays   ,  ,6.86,  ,  ,17.13, transfers, 
04-Nov-18, From Gianluigi Coccia  ,  ,10,  ,  ,10.27, transfers, 
02-Nov-18, Alfred Dunhill Ltd  ,24,  ,  ,  ,0.27, shopping, 
01-Nov-18, To Lorenz Maresca  ,45,  ,  ,  ,24.27, transfers, 
01-Nov-18, To Christopher Maclean  ,1,,,,,,
01-Nov-18, Wasabi  ,16.75,  ,  ,  ,1,,
01-Nov-18, Waterstones  ,10.12,  ,  ,  ,1,,
01-Nov-18, Payment from L Maresca  ,  ,660,  ,  ,1,,
31-Oct-18, To Holidays   ,2,  ,  ,  ,736.14, transfers, 
31-Oct-18, To Holidays   ,1.4,  ,  ,  ,738.14, transfers, 
31-Oct-18, Transport for London  ,5.3,  ,  ,  ,739.54, transport, 
30-Oct-18, To Holidays   ,0.5,  ,  ,  ,744.84, transfers, 
30-Oct-18, To Holidays   ,1.76,  ,  ,  ,745.34, transfers, 
30-Oct-18, Exchange  to GBP FX Rate £1 = €1.1237 ,  ,711.92,  EUR 800.00 ,  ,747.1, general, 
29-Oct-18, To Luca Mircoli  ,0.1,  ,  ,  ,35.18, transfers, 
28-Oct-18, From Gianluigi Coccia  ,  ,20,  ,  ,35.28, transfers, Pizza oregano
25-Oct-18, From Luca Mircoli  ,  ,10,  ,  ,15.28, transfers, 
25-Oct-18, Transport for London  ,2.4,  ,  ,  ,5.28, transport, 
24-Oct-18, To Holidays   ,1.2,  ,  ,  ,7.68, transfers, 
23-Oct-18, Birmingham Coach Station  ,14,  ,  ,  ,8.88, transport, 
23-Oct-18, The Perseverance  ,5.1,  ,  ,  ,22.88, restaurants, 
22-Oct-18, Exchange GBP to  FX Rate £1 = €1.1293 ,1,  ,  GBP 1.00 ,  ,27.98, general, 
22-Oct-18, From Holidays   ,  ,9.41,  ,  ,28.98, transfers, 
22-Oct-18, Exchange GBP to  FX Rate £1 = €1.1324 ,35,  ,  GBP 35.00 ,  ,19.57, general, 
21-Oct-18, Exchange GBP to  FX Rate £1 = €1.1273 ,65,  ,  GBP 65.00 ,  ,54.57, general, 
21-Oct-18, Payment from L Maresca  ,  ,100,  ,  ,119.57, general, MONEY TRANSFER
20-Oct-18, Island Poke  ,20.3,  ,  ,  ,19.57, restaurants, 
19-Oct-18, Exchange GBP to  FX Rate £1 = €1.1374 ,126,  ,  GBP 126.00 ,  ,39.87, general, 
19-Oct-18, Payment from L Maresca  ,  ,100,  ,  ,165.87, general, MONEY TRANSFER
19-Oct-18, To Holidays   ,2,  ,  ,  ,65.87, transfers, 
18-Oct-18, From Luca Mircoli  ,  ,30,  ,  ,67.87, transfers, 
18-Oct-18, To Holidays   ,1.8,  ,  ,  ,37.87, transfers, 
18-Oct-18, To Holidays   ,1.4,  ,  ,  ,39.67, transfers, 
18-Oct-18, Sunflower Cafe  ,8,  ,  ,  ,41.07, restaurants, 
18-Oct-18, Chef Academy London  ,6.2,  ,  ,  ,49.07, restaurants, 
18-Oct-18, Pret A Manger  ,2.75,  ,  ,  ,55.27, restaurants, 
17-Oct-18, From Holidays   ,  ,10,  ,  ,58.02, transfers, 
17-Oct-18, Waitrose  ,8.25,  ,  ,  ,48.02, groceries, 
17-Oct-18, Waitrose  ,6.99,  ,  ,  ,56.27, groceries, 
17-Oct-18, Sunflower Cafe  ,1.5,  ,  ,  ,63.26, restaurants, 
17-Oct-18, Sunflower Cafe  ,7,  ,  ,  ,64.76, restaurants, 
16-Oct-18, To Holidays   ,1.6,  ,  ,  ,71.76, transfers, 
16-Oct-18, To Holidays   ,2,  ,  ,  ,73.36, transfers, 
16-Oct-18, Todich Floral Design - London florist  ,4,  ,  ,  ,75.36, shopping, 
16-Oct-18, To Holidays   ,0.5,  ,  ,  ,79.36, transfers, 
15-Oct-18, To Holidays   ,1,  ,  ,  ,79.86, transfers, 
15-Oct-18, To Holidays   ,2,  ,  ,  ,80.86, transfers, 
14-Oct-18, To Holidays   ,2,  ,  ,  ,82.86, transfers, 
14-Oct-18, To Holidays   ,1.5,  ,  ,  ,84.86, transfers, 
14-Oct-18, To Holidays   ,0.02,  ,  ,  ,86.36, transfers, 
14-Oct-18, From Luca Mircoli  ,  ,15,  ,  ,86.38, transfers, 
14-Oct-18, Planet Organic  ,4.5,  ,  ,  ,71.38, groceries, 
14-Oct-18, The Mandrake Hotel  ,50.63,  ,  ,  ,75.88, travel, 
14-Oct-18, Patty & Bun  ,15,  ,  ,  ,126.51, restaurants, 
14-Oct-18, The Hummingbird Bakery  ,4.5,  ,  ,  ,141.51, groceries, 
14-Oct-18, Hillman Butchers  ,8.49,  ,  ,  ,146.01, groceries, 
13-Oct-18, From Holidays   ,  ,10,  ,  ,154.5, transfers, 
13-Oct-18, Island Poke  ,12.35,  ,  ,  ,144.5, restaurants, 
